Status-ID,"Departure station name","Departure station coordinates","Destination station name","Destination station coordinates"
6189095,"S Ostkreuz Bhf (Berlin)","52.503315,13.469607","S+U Gesundbrunnen Bhf (Berlin)","52.54913,13.389907"
6190296,"Berlin Gesundbrunnen","52.548656,13.39106","Rostock Hbf","54.078197,12.131257"
6232141,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Neuer Markt","54.08899,12.140408"
6233701,"Rostock Neuer Markt","54.08899,12.140408","Rostock, Lomonossowstraße","54.065098,12.117213"
6261855,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6261885,"Rostock Hbf","54.078197,12.131257","Berlin Ostkreuz","52.503305,13.468861"
6263529,"S Ostkreuz Bhf (Berlin)","52.503315,13.469607","S Betriebsbahnhof Rummelsburg (Berlin)","52.49397,13.497724"
6267554,"S Betriebsbahnhof Rummelsburg (Berlin)","52.49397,13.497724","S Ostkreuz Bhf (Berlin)","52.503315,13.469607"
6267591,"Berlin Ostkreuz","52.503305,13.468861","Rostock Hbf","54.078197,12.131257"
6327475,"Rostock Hbf","54.078197,12.131257","Hamburg Hbf","53.553533,10.00636"
6328702,"Hamburg Hbf","53.553533,10.00636",Frankfurt(Main)Süd,"50.099302,8.686187"
6330923,Frankfurt(Main)Süd,"50.099302,8.686187",Langen(Hess),"49.993535,8.656828"
6331361,Langen(Hess),"49.993535,8.656828","Darmstadt Hbf","49.872549,8.629707"
6331586,"Darmstadt Hbf","49.872549,8.629707","Darmstadt Kasinostraße","49.874973,8.642866"
6332563,"Darmstadt Kasinostraße","49.874973,8.642866","Darmstadt Luisenplatz","49.872883,8.650254"
6332575,"Darmstadt Luisenplatz","49.872883,8.650254","Darmstadt Am Karlshof","49.882107,8.665799"
6345013,"Frankfurt (Main) West","50.118862,8.639334","Hamburg Hbf","53.553533,10.00636"
6345232,"Darmstadt Hbf","49.872549,8.629707","Frankfurt (Main) West","50.118862,8.639334"
6348110,"Hamburg Hbf","53.553533,10.00636","Lübeck Hbf","53.86767,10.669737"
6348113,"Lübeck Hbf","53.86767,10.669737","Bad Kleinen","53.766847,11.466496"
6348123,"Bad Kleinen","53.766847,11.466496","Rostock Hbf","54.078197,12.131257"
6545389,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Lange Straße","54.0899,12.134057"
6545816,"Rostock, Lange Straße","54.0899,12.134057","Rostock, Lomonossowstraße","54.065098,12.117213"
6560927,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Kröpeliner Tor","54.089817,12.129987"
6562868,"Rostock, Lange Straße","54.0899,12.134057","Rostock, Lomonossowstraße","54.065098,12.117213"
6565278,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Lange Straße","54.0899,12.134057"
6588639,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Steintor / IHK","54.085865,12.142689"
6589291,"Rostock, Kröpeliner Tor","54.089817,12.129987","Rostock, Lomonossowstraße","54.065098,12.117213"
6659339,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Kröpeliner Tor","54.089817,12.129987"
6659903,"Rostock Neuer Markt","54.08899,12.140408","Rostock, Lomonossowstraße","54.065098,12.117213"
6668487,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock, Lange Straße","54.0899,12.134057"
6669533,"Rostock Neuer Markt","54.08899,12.140408","Rostock, Lomonossowstraße","54.065098,12.117213"
6672027,"Rostock Hbf","54.078197,12.131257","Bad Kleinen","53.766847,11.466496"
6672050,"Rostock, Lomonossowstraße","54.065098,12.117213","Rostock Hbf","54.078197,12.131257"
6672519,"Bad Kleinen","53.766847,11.466496","Lübeck Hbf","53.86767,10.669737"
6672947,"Lübeck Hbf","53.86767,10.669737","Hamburg Hbf","53.553533,10.00636"
6673496,"Hamburg Hbf","53.553533,10.00636","Hamburg Dammtor","53.560841,9.989533"
6673897,"Hamburg Dammtor","53.560841,9.989533","Hamburg Hbf","53.553533,10.00636"
6674150,"U-Bahnhof Hauptbahnhof Süd","53.5523,10.0098","Hamburg Berliner Tor","53.552605,10.02633"
6675185,"Hamburg Berliner Tor","53.552605,10.02633",Lutterothstraße,"53.58207,9.947602"
6681739,Lutterothstraße,"53.58207,9.947602",Schlump,"53.568012,9.96988"
6681745,Lutterothstraße,"53.58207,9.947602",Schlump,"53.568012,9.96988"
6681772,Schlump,"53.568012,9.96988","Hamburg Landungsbrücken","53.546314,9.970619"
6682805,"Baumwall (Elbphilharmonie)","53.544174,9.981325",Schlump,"53.568012,9.96988"
6682987,Schlump,"53.568012,9.96988",Lutterothstraße,"53.58207,9.947602"
0,0,0
